ID,Name,Team,Games,Sport,Event,Medal
974,Nils August Domingo Adlercreutz,Sweden,1912 Summer,Equestrianism,"Equestrianism Men's Three-Day Event, Team",Gold
975,Anna Mrtha Vilhelmina Adlerstrhle (von Oelreich-),Sweden,1908 Summer,Tennis,"Tennis Women's Singles, Covered Courts",Bronze
977,Erik William Adlerz,Sweden,1912 Summer,Diving,Diving Men's Platform,Gold
977,Erik William Adlerz,Sweden,1912 Summer,Diving,Diving Men's Plain High,Gold
977,Erik William Adlerz,Sweden,1920 Summer,Diving,Diving Men's Platform,Silver
980,"Rebecca ""Becky"" Adlington",Great Britain,2008 Summer,Swimming,Swimming Women's 400 metres Freestyle,Gold
980,"Rebecca ""Becky"" Adlington",Great Britain,2008 Summer,Swimming,Swimming Women's 800 metres Freestyle,Gold
980,"Rebecca ""Becky"" Adlington",Great Britain,2012 Summer,Swimming,Swimming Women's 400 metres Freestyle,Bronze
980,"Rebecca ""Becky"" Adlington",Great Britain,2012 Summer,Swimming,Swimming Women's 800 metres Freestyle,Bronze
1000,Dainius Adomaitis,Lithuania,2000 Summer,Basketball,Basketball Men's Basketball,Bronze
1017,Nathan Ghar-Jun Adrian,United States,2008 Summer,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
1017,Nathan Ghar-Jun Adrian,United States,2012 Summer,Swimming,Swimming Men's 100 metres Freestyle,Gold
1017,Nathan Ghar-Jun Adrian,United States,2012 Summer,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Silver
1017,Nathan Ghar-Jun Adrian,United States,2012 Summer,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
1017,Nathan Ghar-Jun Adrian,United States,2016 Summer,Swimming,Swimming Men's 50 metres Freestyle,Bronze
1017,Nathan Ghar-Jun Adrian,United States,2016 Summer,Swimming,Swimming Men's 100 metres Freestyle,Bronze
1017,Nathan Ghar-Jun Adrian,United States,2016 Summer,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
1017,Nathan Ghar-Jun Adrian,United States,2016 Summer,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
1020,Adriana Aparecida dos Santos,Brazil,1996 Summer,Basketball,Basketball Women's Basketball,Silver
1020,Adriana Aparecida dos Santos,Brazil,2000 Summer,Basketball,Basketball Women's Basketball,Bronze
1023,"Adriana ""Adrianinha"" Moiss Pinto",Brazil,2000 Summer,Basketball,Basketball Women's Basketball,Bronze
1025,Attila Adrovicz,Hungary,1996 Summer,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
1046,Klaus Aeffke,Germany,1964 Summer,Rowing,Rowing Men's Coxed Eights,Silver
1071,Kseniya Dmitriyevna Afanasyeva,Russia,2012 Summer,Gymnastics,Gymnastics Women's Team All-Around,Silver
1085,Maksim Sergeyevich Afinogenov,Russia,2002 Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
1088,"Olabisi ""Bisi"" Afolabi",Nigeria,1996 Summer,Athletics,Athletics Women's 4 x 400 metres Relay,Silver
1094,Felicia Afrsiloaie (-Jitianu),Romania,1976 Summer,Rowing,Rowing Women's Coxed Quadruple Sculls,Bronze
1095,Cecil Sebastian Afrika,South Africa,2016 Summer,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,Bronze
1104,Muhammad Afzal Manna,Pakistan,1964 Summer,Hockey,Hockey Men's Hockey,Silver
1107,"Timothy Ernest Victor Kwizera ""Tim"" Agaba",South Africa,2016 Summer,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,Bronze
1109,Lavinia Agache (-Carney),Romania,1984 Summer,Gymnastics,Gymnastics Women's Team All-Around,Gold
1109,Lavinia Agache (-Carney),Romania,1984 Summer,Gymnastics,Gymnastics Women's Horse Vault,Bronze
1114,Luca Agamennoni,Italy,2004 Summer,Rowing,Rowing Men's Coxless Fours,Bronze
1114,Luca Agamennoni,Italy,2008 Summer,Rowing,Rowing Men's Quadruple Sculls,Silver
1122,Andre Kirk Agassi,United States,1996 Summer,Tennis,Tennis Men's Singles,Gold
1131,Clarisse Agbegnenou,France,2016 Summer,Judo,Judo Women's Half-Middleweight,Silver
1144,Henrik Agersborg,Stella-2,1920 Summer,Sailing,Sailing Mixed 6 metres,Bronze
1147,Viktor Ivanovich Ageyev,Soviet Union,1956 Summer,Water Polo,Water Polo Men's Water Polo,Bronze
1147,Viktor Ivanovich Ageyev,Soviet Union,1960 Summer,Water Polo,Water Polo Men's Water Polo,Silver
1147,Viktor Ivanovich Ageyev,Soviet Union,1964 Summer,Water Polo,Water Polo Men's Water Polo,Bronze
1169,Marilyn Agliotti,Netherlands,2008 Summer,Hockey,Hockey Women's Hockey,Gold
1169,Marilyn Agliotti,Netherlands,2012 Summer,Hockey,Hockey Women's Hockey,Gold
1173,Yannick Agnel,France,2012 Summer,Swimming,Swimming Men's 200 metres Freestyle,Gold
1173,Yannick Agnel,France,2012 Summer,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
1173,Yannick Agnel,France,2012 Summer,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Silver
1181,Meghan Christina Agosta (-Marciano),Canada,2006 Winter,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
1181,Meghan Christina Agosta (-Marciano),Canada,2010 Winter,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
1181,Meghan Christina Agosta (-Marciano),Canada,2014 Winter,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
1188,"Benjamin Alexandro ""Ben"" Agosto",United States-1,2006 Winter,Figure Skating,Figure Skating Mixed Ice Dancing,Silver
1191,Judit goston-Mendelnyi,Hungary,1964 Summer,Fencing,"Fencing Women's Foil, Team",Gold
1192,Carlo Agostoni Faini,Italy,1928 Summer,Fencing,"Fencing Men's epee, Team",Gold
1192,Carlo Agostoni Faini,Italy,1932 Summer,Fencing,"Fencing Men's epee, Individual",Bronze
1192,Carlo Agostoni Faini,Italy,1932 Summer,Fencing,"Fencing Men's epee, Team",Silver
1192,Carlo Agostoni Faini,Italy,1948 Summer,Fencing,"Fencing Men's epee, Team",Silver
1201,Erik Alfred gren,Sweden,1936 Summer,Boxing,Boxing Men's Lightweight,Bronze
1208,Ioannis Agrimis,"Large boat, Central Naval Prep School ""Poros""-1",1906 Summer,Rowing,Rowing Men's 17-Man Naval Rowing Boats,Gold
1211,"Estella ""Stella"" Agsteribbe (-Blits)",Netherlands,1928 Summer,Gymnastics,Gymnastics Women's Team All-Around,Gold
1220,Sergio Leonel Agero del Castillo,Argentina,2008 Summer,Football,Football Men's Football,Gold
1221,"Taismary ""Tai"" Agero Leiva (-Botteghi)",Cuba,2000 Summer,Volleyball,Volleyball Women's Volleyball,Gold
1249,Jos Aguilar Pulsn,Cuba,1980 Summer,Boxing,Boxing Men's Light-Welterweight,Bronze
1254,Macarena Aguilar Daz,Spain,2012 Summer,Handball,Handball Women's Handball,Bronze
1262,Sandra Aguilar Navarro,Spain,2016 Summer,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Silver
1270,Jorge Luis Aguilera Ruiz,Cuba,1992 Summer,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
1301,Sri Wahyuni Agustiani,Indonesia,2016 Summer,Weightlifting,Weightlifting Women's Flyweight,Silver
